game_date,team_home,team_away,most_common_total_line,average_total_line,most_common_moneyline_home,average_moneyline_home,most_common_moneyline_away,average_moneyline_away,most_common_spread_home,average_spread_home,most_common_spread_away,average_spread_away,average_total_over_money,average_total_under_money,most_common_total_over_money,most_common_total_under_money,season_year
2026-01-02 03:00:00+00:00,Sacramento Kings,BOS Celtics,228.9999,219.8749,-339.9999,-270.8461,440.0001,340.3847,-10.4999,-7.6538,10.5001,7.6539,2.1181,2.0575,2.1,2.1,2025
2026-01-02 01:30:00+00:00,DAL Mavericks,PHI 76ers,231.4999,222.1249,-114.9999,-89.5384,135.0001,103.4101,-2.4999,-1.9166,2.5001,1.9168,2.148,2.0435,2.15,2.05,2025
2026-01-02 00:00:00+00:00,DET Pistons,MIA Heat,235.4999,225.7916,178.0001,141.0001,-159.9999,-120.6922,4.5001,3.3462,-4.4999,-3.3461,2.0666,2.0824,2.1,2.1,2025
2026-01-01 23:00:00+00:00,Brooklyn Nets,Houston Rockets,216.9999,207.8332,-439.9999,-359.5384,625.0001,470.2308,-13.4999,-10.5833,13.5001,10.5834,2.0287,2.131,2.1,2.1,2025
2026-01-01 01:00:00+00:00,MIL Bucks,WAS Wizards,234.4999,225.5384,500.0001,494.5816,-374.9999,-375.6922,10.5001,10.2309,-10.4999,-10.2307,2.1307,2.0631,2.1,2.1,2025
2026-01-01 01:00:00+00:00,OKC Thunder,POR Trail Blazers,232.4999,223.9999,1000.0001,734.3916,-660.9999,-490.8461,16.5001,10.6924,-16.4999,-10.6922,2.0708,2.0854,2.1,2.1,2025
2026-01-01 00:30:00+00:00,TOR Raptors,DEN Nuggets,229.4999,220.3845,275.0001,263.6363,-219.9999,-219.5384,7.0001,6.6924,-6.9999,-6.6922,2.1158,2.1041,2.1,2.1,2025
2026-01-01 00:00:00+00:00,Chicago Bulls,New Orleans Pelicans,249.4999,239.5768,125.0001,105.4062,-104.9999,-90.6153,2.0001,1.4232,-1.9999,-1.423,2.124,2.0351,2.1,2.1,2025
2026-01-01 00:00:00+00:00,SA Spurs,NY Knicks,235.9999,226.7691,165.0001,160.6716,-139.9999,-139.8461,3.5001,3.1924,-3.4999,-3.1922,2.095,2.081,2.1,2.1,2025
2025-12-31 20:30:00+00:00,Cleveland Cavaliers,Phoenix Suns,232.4999,224.5768,260.0001,215.7093,-209.9999,-181.9999,6.5001,5.4232,-6.4999,-5.423,2.114,2.0766,2.1,2.1,2025
2025-12-31 20:00:00+00:00,Indiana Pacers,Orlando Magic,229.9999,220.8845,-154.9999,-133.9999,180.0001,153.7239,-4.4999,-3.6153,4.5001,3.6155,2.1259,2.0357,2.1,2.07,2025
2025-12-31 20:00:00+00:00,Atlanta Hawks,Minnesota Timberwolves,239.9999,240.1153,-174.9999,-150.8461,200.0001,176.7947,-5.4999,-5.0384,5.5001,5.0385,2.0974,2.0646,2.1,2.1,2025
2025-12-31 18:00:00+00:00,Charlotte Hornets,Golden State Warriors,234.4999,225.2307,-239.9999,-243.0768,295.0001,293.4393,-7.9999,-7.4614,8.0001,7.4616,2.1258,2.087,2.1,2.1,2025
2025-12-31 04:00:00+00:00,LA Clippers,SAC Kings,218.4999,209.8332,350.0001,340.8078,-279.9999,-270.6153,9.5001,9.4584,-9.4999,-9.4582,2.0705,2.1054,2.1,2.1,2025
2025-12-31 03:30:00+00:00,LA Lakers,DET Pistons,232.9999,224.1249,-119.9999,-112.5384,140.0001,130.8378,-2.4999,-3.0768,2.5001,3.077,2.0653,2.1273,2.1,2.1,2025
2025-12-31 02:00:00+00:00,UTA Jazz,BOS Celtics,242.9999,242.9999,-239.9999,-221.4614,285.0001,266.9832,-8.4999,-7.7691,8.5001,7.7693,2.1033,2.093,2.1,2.1,2025
2025-12-31 01:00:00+00:00,MEM Grizzlies,PHI 76ers,234.4999,225.8332,-104.9999,-115.3076,125.0001,117.1701,-1.9999,-2.1153,2.0001,2.1155,2.1143,2.1384,2.1,2.1,2025
2025-12-30 00:00:00+00:00,Washington Wizards,Phoenix Suns,233.4999,223.7499,-339.9999,-263.3076,425.0001,340.817,-10.4999,-7.0384,10.5001,7.0385,2.13,2.0591,2.15,2.1,2025
2025-12-30 00:00:00+00:00,Charlotte Hornets,Milwaukee Bucks,227.4999,218.3332,-124.9999,-85.6922,142.0001,101.0716,-2.9999,-2.0768,3.0001,2.077,2.065,2.1235,2.1,2.1,2025
